,Rank,School,Rating,Win %,Adj Win %,SOS,Offense,Defense,+/-,Adj +/-,AP,Change,Logo Match
115,116,Oklahoma State (3-9),61.30349611434964,25.0,16.73939393939394,31.0,72.0,124.0,-11.363636363636363,-4.159226444531873,NR,2,Oklahoma_State
116,117,Central Michigan (4-8),60.84192958506576,33.33333333333333,28.096969696969694,102.0,122.0,104.0,-12.818181818181818,-16.43236562738978,NR,0,Central_Michigan
117,118,Temple (3-9),60.58046615850938,25.0,29.72222222222222,101.0,117.0,119.0,-15.833333333333334,-17.95307827736135,NR,-2,Temple
118,119,Nevada (3-10),60.01087137243053,23.076923076923077,19.68888888888889,74.0,112.0,90.0,-8.916666666666666,-9.910405766720883,NR,0,Nevada
119,120,Florida State (2-10),59.328050764309914,16.666666666666664,16.096969696969694,4.0,133.0,91.0,-16.818181818181817,-6.335709415249923,NR,1,Florida_State
120,121,UAB (3-9),58.76353798837526,25.0,21.684848484848487,91.0,80.0,125.0,-12.272727272727273,-13.886976575733536,NR,-1,UAB
121,122,Georgia State (3-9),57.58779461723805,25.0,17.975757575757576,71.0,89.0,116.0,-11.181818181818182,-11.557981373738995,NR,0,Georgia_State
122,123,Mississippi State (2-10),56.94335495518074,16.666666666666664,12.8,10.0,95.0,123.0,-13.454545454545455,-4.799208602229443,NR,2,Mississippi_State
123,124,Ball State (3-9),56.693086545685766,25.0,18.387878787878787,81.0,89.0,131.0,-16.818181818181817,-13.424064327409583,NR,0,Ball_State
124,125,Florida Atlantic (3-9),56.614904866821846,25.0,21.684848484848487,127.0,83.0,107.0,-7.545454545454546,-17.03561773418601,NR,-2,Florida_Atlantic
125,126,Kennesaw State (2-10),53.6454832735095,16.666666666666664,22.096969696969698,126.0,127.0,106.0,-15.0,-21.75619140179961,NR,0,Kennesaw_State
126,127,New Mexico State (3-9),53.55289230301742,25.0,21.684848484848487,121.0,107.0,126.0,-16.636363636363637,-21.522739658064225,NR,0,New_Mexico_State
127,128,San Diego State (3-9),53.34353633381325,25.0,17.151515151515152,108.0,119.0,98.0,-11.818181818181818,-17.109228768172486,NR,1,San_Diego_State
128,129,Middle Tennessee (3-9),52.786723709889216,25.0,21.684848484848487,111.0,127.0,117.0,-18.272727272727273,-22.645495303240637,NR,-1,Middle_Tennessee
129,130,Tulsa (3-9),49.677192980221484,25.0,19.62424242424243,129.0,104.0,133.0,-22.181818181818183,-25.36220118368022,NR,0,Tulsa
130,131,Purdue (1-11),39.24893667366188,8.333333333333332,3.6363636363636367,2.0,134.0,132.0,-30.818181818181817,-10.120412854243336,NR,0,Purdue
131,132,Massachusetts (2-10),36.80960480456864,16.666666666666664,4.0,78.0,114.0,128.0,-18.8,-17.691221432081655,NR,0,Massachusetts
132,133,Kent State (0-12),32.784395530647465,0.0,3.6363636363636367,75.0,131.0,134.0,-32.36363636363637,-24.92413336906676,NR,0,Kent_State
133,134,Southern Miss (1-11),32.68684988491956,8.333333333333332,3.6363636363636367,79.0,132.0,130.0,-26.818181818181817,-25.147511710212335,NR,0,Southern_Miss
